abbreviation,city,team_name
BOS,Boston,Bruins
CAR,Carolina,Hurricanes
TOR,Toronto,Maple Leafs
VGK,Las Vegas,Golden Knights
DAL,Dallas,Stars
NJD,New Jersey,Devils
WPG,Winnipeg,Jets
WSH,Washington,Capitals
LAK,Los Angeles,Kings
NYR,New York,Rangers
TBL,Tampa Bay,Lightning
SEA,Seattle,Kraken
MIN,Minnesota,Wild
PIT,Pittsburgh,Penguins
NYI,New York,Islanders
CGY,Calgary,Flames
EDM,Edmonton,Oilers
COL,Colorado,Avalanche
STL,St. Louis,Blues
BUF,Buffalo,Sabres
NSH,Nashville,Predators
FLA,Florida,Panthers
DET,Detroit,Red Wings
OTT,Ottawa,Senators
VAN,Vancouver,Canucks
PHI,Philadelphia,Flyers
MTL,Montreal,Canadiens
SJS,San Jose,Sharks
ARI,Arizona,Coyotes
ANA,Anaheim,Ducks
CBJ,Columbus,Blue Jackets
CHI,Chicago,Blackhawks
LAK,L.A,Kings
NJD,N.J,Devils
SJS,S.J,Sharks
TBL,T.B,Lightning
NYI,Brooklyn,Islanders
VGK,Vegas,Golden Knights
NYR,NY Rangers,Rangers
NYI,NY Islanders,Islanders
BOS,Bruins,Bruins
CAR,Hurricanes,Hurricanes
TOR,Maple Leafs,Maple Leafs
VGK,Golden Knights,Golden Knights
DAL,Stars,Stars
NJD,Devils,Devils
WPG,Jets,Jets
WSH,Capitals,Capitals
LAK,Kings,Kings
NYR,Rangers,Rangers
TBL,Lightning,Lightning
SEA,Kraken,Kraken
MIN,Wild,Wild
PIT,Penguins,Penguins
NYI,Islanders,Islanders
CGY,Flames,Flames
EDM,Oilers,Oilers
COL,Avalanche,Avalanche
STL,Blues,Blues
BUF,Sabres,Sabres
NSH,Predators,Predators
FLA,Panthers,Panthers
DET,Red Wings,Red Wings
OTT,Senators,Senators
VAN,Canucks,Canucks
PHI,Flyers,Flyers
MTL,Canadiens,Canadiens
SJS,Sharks,Sharks
ARI,Coyotes,Coyotes
ANA,Ducks,Ducks
CBJ,Blue Jackets,Blue Jackets
CHI,Blackhawks,Blackhawks
WPG,Atlanta,Thrashers
WPG,Thrashers,Thrashers
ARI,PHX,Coyotes
ARI,Pheonix,Coyotes
CHI,Hawks,Blackhawks
NYI,Brooklyn,Islanders
NYI,Isles,Islanders
MTL,Habs,Canadiens
TOR,Leafs,Maple Leafs
DET,Wings,Red Wings
